,,LEDs,,,,,,,,,,,,,
,,FPGA Pin ,,,,,,,,,,,,,
,,A5,RED,,,,,,,,,,,,
,,M4,GREEN,,,,,,,,,,,,
,,P7,12 MHz clock,,,,,,,,,,,,
,,P4,Tx,,,,,,,,,,,,
,,P5,Rx,,,,,,,,,,,,
,,Connector,PL2,,,,,,,Connector,PL3,,,,
,,,,,,,,,,,,,,,
,Function,FPGA Pin ,Connector Pin,Connector Pin,FPGA Pin,function,,,function,FPGA Pin ,Connector Pin,Connector Pin,FPGA Pin,,function
,,,1,2,RESET,,,,5v,5v,1,2,GND,,GND
,,,3,4,3.3v,3.3v,,,sr3,M12,3,4,P8,,sr4
,run,M7,5,6,GND,GND,,,sr2,N14,5,6,P14,,sr5
,ema0,M6,7,8,,,,,sr1,K12,7,8,L12,,sr6
,ema1,P3,9,10,,,,,sr0,H11,9,10,L14,,sr7
,ema2,P2,11,12,P1,,,,sw,J12,11,12,K14,,sr8
,a0,M3,13,14,N1,ds0,,,tx,G12,13,14,H12,,sr9
,a1,M1,15,16,L1,ds1,,,rx,F12,15,16,G14,,sr10
,a2,K3,17,18,J3,ds2,,sd,CS,E12,17,18,F14,,sr11
,a3,J1,19,20,H3,ds3,,sd,SCLK,D12,19,20,E14,addr,load
,a4,H1,21,22,G3,ds4,,sd,MOSI,C12,21,22,D14,extd,addr
,a5,G1,23,24,F3,ds5,,sd,MISO,B14,23,24,C14,,clear
,a6,E1,25,26,D1,ds6,,,dsel5,A11,25,26,A12,,cont
,a7,C1,27,28,D3,ds7,,,dsel4,C10,27,28,C11,,exam
,a8,C3,29,30,B1,ds8,,,dsel3,A10,29,30,D10,,halt
,a9,A1,31,32,A2,ds9,,,dsel2,D6,31,32,D7,single,step
,a10,A3,33,34,C4,ds10,,,dsel1,C7,33,34,C6,,dep
,a11,A4,35,36,C5,ds11,,,dsel0,A7,35,36,A6,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,PL2,,,,,,,,,PL3,,,,
,,odd,even,,,,,,,,odd,even,,,
,,AD3,RESET,0,1,,,,,,5v,GND,1,,1
,,AD4,3.3v,0,1,,,,,,M12,P8,1,,1
,,M7,GND,1,1,,,,,,N14,P14,1,,1
,,M6,AD1,1,0,,,,,,K12,L12,1,,1
,,P3,AD2,1,0,,,,,,H11,L14,1,,1
,,P2,P1,1,1,,,,,,J12,K14,1,,1
,,M3,N1,1,1,,,,,,G12,H12,1,,1
,,M1,L1,1,1,,,,,,F12,G14,1,,1
,,K3,J3,1,1,,,,,,E12,F14,1,,1
,,J1,H3,1,1,,,,,,D12,E14,1,,1
,,H1,G3,1,1,,,,,,C12,D14,1,,1
,,G1,F3,1,1,,,,,,B14,C14,1,,1
,,E1,D1,1,1,,,,,,A11,A12,1,,1
,,C1,D3,1,1,,,,,,C10,C11,1,,1
,,C3,B1,1,1,,,,,,A10,D10,1,,1
,,A1,A2,1,1,,,,,,D6,D7,1,,1
,,A3,C4,1,1,,,,,,C7,C6,1,,1
,,A4,C5,1,1,,,,,,A7,A6,1,,1
